Date,Check Number,Description,Debit,Credit,Running Balance
12/31/2021,0, PAID THIS STATEMENT THRU 12/31 ,0,0.02,4436.68
12/31/2021,0, 1231 00000101         0000QHKC7,0,11.65,4489.94
12/31/2021,0, 1231 00000101         0000H1DKS,0,11.65,4478.29
12/31/2021,0, EDWARD JONES     SEC PPD       ,0,3000.00,4466.64
12/31/2021,0, AMAZON.COM*DW2RE54O3       SEAT,11.65,0,4459.52
12/31/2021,0, FERN GULLY JAMAICAN CA     KENN,18.77,0,4471.17
12/31/2021,0, TARGET T- 3378             ACWO,22.86,0,4436.66
12/30/2021,0, AMAZON.COM*LY0FN4313       SEAT,19.07,0,1713.23
12/30/2021,0, WAL-MART SUPER CENTER      ACWO,67.14,0,1732.30
12/30/2021,0, STATE FARM RO 27 SFPP       27 ,246.59,0,1466.64
12/29/2021,0, HP *INSTANT INK            855-,3.17,0,1836.44
12/29/2021,0, KROGER FU OGG              ACWO,37.00,0,1799.44
12/28/2021,0, HLU*HULU 1459212307428     HULU,6.99,0,1839.61
12/27/2021,0,MOBILE CHECK DEPOSIT,0,6.64,2066.40
12/27/2021,0, 1226 40039730         000015311,0,7.13,2059.76
12/27/2021,0, 1226 00000101         0000MDZ5C,0,11.65,2052.63
12/27/2021,0, AMAZON.COM*FV2ZV7DT3       SEAT,11.65,0,1907.70
12/27/2021,0, SUNTRUST BANK    TRANSFER   100,25.00,0,1846.60
12/27/2021,0, ALDI 76051                 KENN,25.67,0,2005.32
12/27/2021,0, TST* GUSTON GRILLE - A     ACWO,33.53,0,1971.79
12/27/2021,0, PHR*GEORGIAUROLOGY         678-,35.41,0,2030.99
12/27/2021,0, AMAZON.COM*AN2A46GC3       SEAT,36.10,0,1871.60
12/27/2021,0, WM SUPERCENTER #           ACWO,52.44,0,1919.35
12/24/2021,0, AMAZON.COM*CH7V68FI3       SEAT,11.65,0,2090.98
12/24/2021,00000000058,CHECK,50.00,0,2040.98
12/23/2021,0, TARGET T- 3378             ACWO,11.78,0,2102.63
12/23/2021,0, KROGER 39 3330             ACWO,80.05,0,2114.41
12/22/2021,0, WELLSTAR FAN MED ACW A     ACUW,5.00,0,2283.18
12/22/2021,0, WELLSTAR FAN MED ACW A     ACUW,5.00,0,2288.18
12/22/2021,0, PETSMART # 1259            ACWO,39.37,0,2194.46
12/22/2021,0, PUBLIX SUPER MAR           KENN,49.35,0,2233.83
12/21/2021,0, KROGER 39 3330             ACWO,99.78,0,2568.18
12/21/2021,0, CURAE PMT        EPAY       CUR,125.00,0,2443.18
12/21/2021,0, SUNTRUST  CC     ONLINE PMT CKF,150.00,0,2293.18
12/20/2021,0, AMAZON.COM*VO14X2HA3       SEAT,8.97,0,2793.89
12/20/2021,0, POPEYES 13325              ACWO,19.25,0,3079.08
12/20/2021,0, AMAZON.COM*MW12451Q3       SEAT,31.79,0,2762.10
12/20/2021,0, WAL-MART #3748             ACWO,61.20,0,2802.86
12/20/2021,0, LOWES CC         LWS EPAY   551,94.14,0,2667.96
12/20/2021,0, KROGER 39 3330             ACWO,215.02,0,2864.06
12/17/2021,0, GRETCHENS AND LUCYS        MARI,6.35,0,3098.33
12/17/2021,0, GRETCHENS AND LUCYS        MARI,17.99,0,3104.68
12/17/2021,0, HARDEES 1500793            ACWO,18.61,0,3122.67
12/17/2021,0, CVS/PHARMACY #02105        ACWO,72.00,0,3141.28
12/16/2021,0, NCG ACWORTH B M            ACWO,6.89,0,3240.17
12/16/2021,0, MICHAELS STORES 5182       ACWO,12.90,0,3213.28
12/16/2021,0, NETFLIX COM                LOS ,13.99,0,3226.18
12/15/2021,0, SSA  TREAS 310   XXSOC SEC     ,0,788.80,1211.95
12/15/2021,0, SSA  TREAS 310   XXSOC SEC     ,0,2091.00,3302.95
12/15/2021,0, NCG ACWORTH                6785,17.34,0,3285.61
12/15/2021,0, TST* GUSTON GRILLE - A     ACWO,38.55,0,3247.06
12/14/2021,0, AMAZON.COM*AI6Z93OV3       SEAT,12.07,0,437.42
12/14/2021,0, AMAZON.COM*I80MW72E3       SEAT,14.27,0,423.15
12/13/2021,0, TST* WOODRUFF ARTS CEN     ATLA,15.21,0,784.68
12/13/2021,0, KROGER FU OGG              ACWO,26.00,0,799.89
12/13/2021,0, EMBRACE PET INS  INSURANCE  323,35.19,0,749.49
12/13/2021,0, LIFEISGOOD.COM             603-,41.55,0,924.24
12/13/2021,0, TM TICKETMASTER            8006,98.35,0,825.89
12/13/2021,0, AMEX EPAYMENT    ACH PMT    W07,300.00,0,449.49
12/10/2021,0, SP * BRANDYWINEBOUTIQU     KENN,39.06,0,965.79
12/10/2021,0, COMCAST CABLE COMM         800-,132.69,0,1004.85
12/09/2021,0, VERIZON WIRELESS PAYMENTS   022,88.64,0,1137.54
12/08/2021,0, AMAZON.COM*VH8A24VC3       SEAT,18.18,0,1226.18
12/07/2021,0, WWW.CVS.COM                800-,5.00,0,1270.82
12/07/2021,0, MARCOS PIZZA - 8232        KENN,26.46,0,1244.36
12/06/2021,0, AMEX EPAYMENT    ACH PMT    W76,81.25,0,1275.82
12/06/2021,0, KROGER 39 3330             ACWO,337.28,0,1357.07
12/03/2021,0, USPS PO 1 4915             ACWO,27.85,0,1694.35
12/03/2021,0, AMAZON.COM*ET1QL4W63       SEAT,36.91,0,1722.20
12/02/2021,0, 2526 GREAT CLIPS BUTLE     ACWO,19.00,0,3701.23
12/02/2021,0, AMERICAN HOMES 4 WEB PMTS   8FM,1942.12,0,1759.11
12/01/2021,0, AMAZON.COM*HU6626UY3       SEAT,14.78,0,4195.97
12/01/2021,0, AMAZON.COM*IR62E9P43       SEAT,106.20,0,4089.77
12/01/2021,0, AMAZON.COM*116SM5S23       SEAT,122.95,0,3966.82
12/01/2021,0, KROGER 39 3330             ACWO,130.82,0,4210.75
12/01/2021,0, STATE FARM RO 27 SFPP       27 ,246.59,0,3720.23
11/30/2021,0, PAID THIS STATEMENT THRU 11/30 ,0,0.02,4341.57
11/30/2021,0, EDWARD JONES     SEC PPD       ,0,3000.00,4689.77
11/30/2021,0, NEW CHINA BUFFET.          WOOD,29.36,0,4660.41
11/30/2021,0, WOW PHO   GRILL            WOOD,44.02,0,4616.39
11/30/2021,0, PUBLIX SUPER MAR           KENN,130.69,0,4341.55
11/30/2021,0, AMAZON.COM*GR4SI47I3       SEAT,144.15,0,4472.24
11/29/2021,0, CMSVEND*PRESTIGE SERVI     HALF,1.50,0,2084.35
11/29/2021,0, CMSVEND*PRESTIGE SERVI     HALF,1.50,0,2085.85
11/29/2021,0, CMSVEND*PRESTIGE SERVI     HALF,2.00,0,2087.35
11/29/2021,0, HP *INSTANT INK            855-,3.17,0,1788.66
11/29/2021,0, HLU*HULU 1459212306989     HULU,6.99,0,2058.29
11/29/2021,0, TWP*SUB43202707            800-,9.99,0,1778.67
11/29/2021,0, CUMBERLAND FARMS 4774      EAST,10.00,0,1874.15
11/29/2021,0, ARBYS #6621 KENNESAW       KENN,12.25,0,1791.83
11/29/2021,0, SQ *CHAPTER TWO BOOKS      WILL,15.00,0,1884.15
11/29/2021,0, AMAZON.COM*065Q87QS3       SEAT,19.07,0,2065.28
11/29/2021,0, AMAZON.COM*JI9M19T33       SEAT,23.86,0,1804.08
11/29/2021,0, MOONLIGHT DINER   GRIL     WILL,35.98,0,1970.31
11/29/2021,0, BLACK BEAR SALOON          WIND,46.21,0,1827.94
11/29/2021,0, CUMBERLAND FARMS 6678      WILL,52.00,0,2006.29
11/29/2021,0, IN *AMY S COTTAGE          WILL,71.16,0,1899.15
11/29/2021,0, BIG LOTS  4200             KENN,88.90,0,1689.77
11/26/2021,0, SUNTRUST BANK    TRANSFER   100,25.00,0,2089.35
11/23/2021,0, GB EATS                    GREA,50.27,0,2114.35
11/22/2021,0,ATM SURCHARGE REFUND,0,3.95,2673.25
11/22/2021,0, MARRIOTT ATLANTA F B       COLL,6.20,0,2773.25
11/22/2021,0, MARRIOTT ATLANTA F B       COLL,10.46,0,2779.45
11/22/2021,0, ATL AIRP TODAY DR7         ATLA,17.90,0,2655.35
11/22/2021,0, ROBIN S                    GREA,20.95,0,2534.08
11/22/2021,0, STOP   SHOP 07             N AD,26.03,0,2284.62
11/22/2021,0, TOP SPICE THAI   MALAY     ATLA,37.63,0,2789.91
11/22/2021,0, FRIENDLYS RESTAURANT -     HOLY,38.44,0,2616.91
11/22/2021,0, EVERGREEN CONTEMPORARY     GREA,42.50,0,2491.58
11/22/2021,0, BIG Y 23  200              PITT,47.91,0,2310.65
11/22/2021,0, CENTER STREET TAVERN       ACWO,48.25,0,2827.54
11/22/2021,0, STOP   SHOP 07             N AD,61.88,0,2555.03
11/22/2021,0, 1119 ACFN5342         000000009,103.95,0,2669.30
11/22/2021,0, CURAE PMT        EPAY       CUR,120.00,0,2164.62
11/22/2021,0, STOP   SHOP 00             PITT,133.02,0,2358.56
11/19/2021,0, KOHL S           CHG PYMT   043,17.06,0,2925.79
11/19/2021,0, SUNTRUST  CC     ONLINE PMT CKF,50.00,0,2875.79
11/19/2021,0, CLOUD 9 NAIL SPA SALON     ACWO,61.00,0,2942.85
